_id,Year_Month,Card_type,Travel_Mode,Trip
412,May-2017,Concession,Light Rail,32391
413,May-2017,Free Travel,Light Rail,936
414,May-2017,School Student,Light Rail,6885
415,May-2017,Senior/Pensioner,Light Rail,144208
416,May-2017,Sgl Trip LR Adult,Light Rail,2535
417,May-2017,Sgl Trip LR Child/Youth,Light Rail,432
418,May-2017,Adult,Train,26157005
419,May-2017,Child/Youth,Train,952898
420,May-2017,Concession,Train,2727746
421,May-2017,Employee,Train,332707
422,May-2017,Free Travel,Train,35442
423,May-2017,School Student,Train,1272946
424,May-2017,Senior/Pensioner,Train,3039985
425,May-2017,Sgl Trip Rail Adult,Train,293744
426,May-2017,Sgl Trip Rail Child/Youth,Train,50537
427,Jun-2017,Adult,Bus,13139949
428,Jun-2017,Adult Single Bus Trip 1,Bus,149534
429,Jun-2017,Adult Single Bus Trip 2,Bus,90172
430,Jun-2017,Adult Single Bus Trip 3,Bus,35967
431,Jun-2017,Child/Youth,Bus,1066813
432,Jun-2017,Child/Youth Single Bus Trip 1,Bus,38891
433,Jun-2017,Child/Youth Single Bus Trip 2,Bus,25954
434,Jun-2017,Child/Youth Single Bus Trip 3,Bus,7945
435,Jun-2017,Concession,Bus,1472712
436,Jun-2017,Employee,Bus,69266
437,Jun-2017,Free Travel,Bus,35256
438,Jun-2017,School Student,Bus,2499684
439,Jun-2017,Senior/Pensioner,Bus,3904931
440,Jun-2017,Adult,Ferry,791353
441,Jun-2017,Child/Youth,Ferry,94767
442,Jun-2017,Concession,Ferry,26673
443,Jun-2017,Employee,Ferry,5164
444,Jun-2017,Free Travel,Ferry,2211
445,Jun-2017,School Student,Ferry,1764
446,Jun-2017,Senior/Pensioner,Ferry,180835
447,Jun-2017,Sgl Trip Ferry Adult,Ferry,42949
448,Jun-2017,Sgl Trip Ferry Child/Youth,Ferry,10431
449,Jun-2017,Adult,Light Rail,615981
450,Jun-2017,Child/Youth,Light Rail,39888
451,Jun-2017,Concession,Light Rail,33781
452,Jun-2017,Employee,Light Rail,1
453,Jun-2017,Free Travel,Light Rail,956
454,Jun-2017,School Student,Light Rail,4961
455,Jun-2017,Senior/Pensioner,Light Rail,148978
456,Jun-2017,Sgl Trip LR Adult,Light Rail,2837
457,Jun-2017,Sgl Trip LR Child/Youth,Light Rail,623
458,Jun-2017,Adult,Train,24096554
459,Jun-2017,Child/Youth,Train,1076221
460,Jun-2017,Concession,Train,1944290
461,Jun-2017,Employee,Train,308301
462,Jun-2017,Free Travel,Train,31954
463,Jun-2017,School Student,Train,1054982
464,Jun-2017,Senior/Pensioner,Train,2840831
465,Jun-2017,Sgl Trip Rail Adult,Train,293213
